Year,Country,Maternal Mortality Rate ,Skilled Birth Attendants,Healthcare Access,Income Level,Education Level %,Maternal Health Services %,Contraceptive Prevalence %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2022,China,872,2613,253,75742,16,93,31,61,13.912,51,49,69,46,4.521,61.617
2027,Sweden,214,144,385,43937,67,81,88,67,10.202,87,48,77,40,2.456,52.62
2016,China,452,7648,250,71055,94,50,39,67,3.3663,33,17,85,25,1.181,46.656
2026,China,353,6356,444,1327,75,55,61,73,11.3904,50,18,77,16,3.207,74.766
2027,Indonesia,1264,8344,344,57000,59,52,58,91,10.2692,37,48,69,20,2.05,68.596
2023,Portugal,1176,8494,458,13816,57,55,48,61,5.2776,51,36,87,36,3.718,68.527
2015,Angola,864,8735,463,94328,85,81,60,45,13.6363,78,39,77,25,3.136,45.594
2020,Portugal,36,7971,115,36245,71,93,55,64,12.8517,68,28,60,32,1.165,65.897
2019,Poland,53,7079,296,58771,25,69,95,66,10.6355,85,33,75,49,2.172,84.822
2016,Russia,28,4166,35,97708,47,50,99,56,5.7798,54,45,61,47,2.779,61.183
2020,Colombia,1230,6247,405,5690,42,89,36,81,13.5102,80,44,80,24,4.453,54.063
2022,China,1099,8897,149,42489,59,57,41,61,10.7007,48,25,84,27,4.351,45.514
2023,Ukraine,56,1655,307,30218,96,71,39,53,4.805,31,18,60,46,2.258,77.41
2017,Portugal,526,9681,327,35199,17,55,46,98,11.6836,38,19,67,40,4.54,78.909
2027,Portugal,761,6182,489,15978,53,96,50,60,9.0458,44,26,80,20,1.46,63.263
2019,Tajikistan,964,7680,393,53261,23,71,71,59,6.2452,43,13,62,33,5.276,82.596
2021,Dominican Republic,571,1617,401,45114,97,80,66,73,6.5365,84,15,79,38,6.564,71.488
2016,Portugal,96,5220,96,37650,40,82,44,48,6.1563,70,49,63,45,1.348,87.264
2021,Indonesia,45,9053,317,32620,63,70,83,58,5.7449,36,38,77,39,3.649,88.512
2024,China,1092,9354,217,77611,11,86,42,74,12.4535,72,34,71,37,6.325,55.923
2017,Poland,674,9141,154,89700,87,58,99,77,13.581,47,44,84,23,6.49,67.557
2024,China,1298,7382,160,45462,59,59,78,65,3.4048,60,24,61,19,4.682,60.884
2016,Portugal,1043,5151,377,95730,93,76,35,54,8.7515,45,32,65,26,6.979,57.921
2016,Poland,556,8988,144,51404,60,100,39,40,6.6039,57,22,79,21,2.479,50.654
2020,Brazil,110,4260,424,13523,14,93,50,59,10.2086,49,49,71,38,3.34,59.398
2020,Bosnia and Herzegovina,416,9503,107,89880,57,76,34,62,10.5578,38,33,66,43,2.175,61.626
2027,Egypt,646,5565,272,54800,35,54,80,51,14.0758,81,21,74,48,1.698,53.559
2016,Nigeria,1287,9639,327,90942,94,59,31,82,7.3063,77,13,75,40,6.772,47.514
2026,China,55,5342,232,66524,81,55,42,83,5.2862,44,33,85,50,5.27,52.909
2022,Ireland,748,3925,158,32939,94,86,70,40,14.9418,39,12,63,14,6.183,75.065
2015,Portugal,1149,2036,492,67224,42,64,97,42,8.9793,40,45,72,24,2.445,67.106
2020,Thailand,126,7726,321,78251,32,56,34,92,10.3892,79,25,85,27,1.973,63.394
2016,Portugal,634,4852,370,33680,37,94,70,65,6.7712,81,45,70,23,4.529,79.086
2029,Kosovo,829,1184,422,51169,75,93,93,58,5.9478,48,16,64,29,3.548,56.244
2021,Bolivia,16,2878,386,2157,100,71,100,89,8.3138,73,41,63,39,3.676,75.393
2023,France,367,3797,288,9089,69,83,56,51,12.0115,67,32,71,32,4.546,74.463
2030,Czech Republic,254,7775,393,74631,62,89,65,46,13.7967,67,22,74,42,5.916,44.515
2028,China,595,8487,365,50159,76,63,81,70,14.6927,88,38,71,28,2.525,65.402
2023,Botswana,1217,81,173,84797,92,66,43,74,8.7491,90,50,69,35,3.425,80.764
2030,France,467,6125,476,28725,13,80,61,79,14.868,47,27,63,35,6.654,55.32
2024,Russia,553,6296,370,95580,67,90,70,86,5.6287,63,46,88,27,6.486,51.482
2018,Nigeria,836,8011,212,97817,69,82,41,97,10.2954,89,35,70,14,6.592,48.439
2023,Indonesia,670,3599,23,28428,83,78,56,69,6.7753,63,22,75,14,3.166,71.194
2016,China,1054,3077,174,82673,89,96,70,82,6.6038,40,19,77,35,1.887,43.442
2021,China,1082,2411,311,14572,54,91,40,88,10.0718,63,29,83,46,1.204,41.327
2024,Syria,800,9910,95,89330,42,83,45,96,14.6927,68,50,79,43,4.382,80.405
2022,Sweden,1084,7317,247,18621,75,69,44,67,5.0607,85,40,83,24,2.504,58.046
2024,Russia,1150,1826,82,66254,14,72,81,61,7.3315,85,31,69,32,5.159,84.71
2030,Indonesia,1251,3273,83,75967,94,67,53,93,9.5622,46,19,85,43,6.871,41.728
2017,United States,579,5883,76,48452,93,86,41,80,4.2974,70,27,61,50,6.193,67.376
2018,Indonesia,484,7944,149,11747,100,63,78,67,10.1452,35,44,60,41,5.156,69.727
2017,Italy,615,7667,279,54647,74,87,54,90,7.7331,48,22,68,37,3.262,40.763
2025,Sweden,117,9396,361,82950,47,63,81,86,12.514,76,10,83,41,6.717,80.316
2028,Mexico,933,7139,491,42832,27,89,51,43,3.5581,78,37,82,35,2.142,63.914
2024,Russia,558,5081,47,62342,36,66,38,62,3.3946,56,24,80,36,1.148,44.118
2022,Russia,281,7662,155,26939,14,90,48,88,14.4506,84,40,81,44,5.756,55.197
2020,Indonesia,1084,5667,288,81397,92,90,70,49,7.5863,32,45,76,42,2.658,59.243
2028,Peru,618,987,463,17933,61,87,44,66,14.948,30,30,61,43,5.015,66.821
2020,United States,1210,7979,452,79674,57,60,69,72,3.4901,67,40,64,29,4.595,59.514
2019,Brazil,1203,5446,56,78569,12,94,75,71,5.0147,37,28,89,42,4.593,62.905
2020,Russia,753,2265,437,13123,98,58,69,42,13.338,64,40,65,18,6.236,63.835
2019,Argentina,1116,2792,184,41454,98,82,99,48,3.858,47,42,86,23,1.718,56.457
2021,Philippines,1197,9603,461,86231,80,74,69,64,12.466,81,22,87,25,3.826,88.924
2024,United States,185,8042,321,78184,79,96,76,77,11.0252,46,23,77,14,3.877,53.556
2029,Indonesia,1179,1612,120,87835,89,89,71,68,13.1156,80,15,81,27,5.179,57.482
2027,Swaziland,1140,7121,120,72320,70,61,45,43,3.8431,42,14,88,18,6.133,63.665
2030,Sweden,155,8086,299,68995,30,83,33,91,8.8616,81,38,88,16,3.051,77.199
2018,Netherlands,156,2702,333,34510,26,91,82,73,9.5495,55,31,70,13,6.239,82.367
2025,China,198,7394,88,31261,53,81,76,70,7.7245,74,41,86,27,5.733,64.134
2027,Argentina,462,6958,275,71777,16,72,100,70,5.2043,53,38,75,40,5.254,55.699
2024,Paraguay,1253,2293,188,55665,49,80,33,99,11.1057,56,47,80,33,3.981,79.754
2026,Portugal,217,9139,40,57659,48,91,69,86,5.1528,39,14,78,49,4.992,71.286
2016,Palau,1181,5453,112,87026,21,53,97,81,9.1063,87,10,68,18,5.054,44.011
2024,Vanuatu,274,4908,393,35646,38,81,63,67,8.0817,35,35,79,30,2.57,49.043
2026,Sri Lanka,615,7987,111,59656,47,66,63,59,14.1269,70,43,65,40,4.588,54.044
2020,China,414,9388,14,13633,88,90,64,89,6.1053,84,18,83,37,1.495,54.006
2029,Indonesia,290,7291,272,20391,17,66,92,67,3.7969,58,47,80,38,4.745,75.372
2017,Russia,344,8219,316,19096,20,93,67,92,4.2695,84,48,65,41,3.561,57.949
2015,Philippines,520,9579,342,58998,69,84,53,97,10.1307,85,18,82,19,4.453,79.349
2026,Peru,792,2682,344,64667,26,82,98,61,3.1145,55,12,60,25,3.278,76.674
2016,France,718,5640,397,98226,51,78,64,60,12.852,44,10,84,18,6.734,50.123
2022,China,500,7619,413,95872,31,79,35,55,11.7473,47,49,60,29,3.267,86.731
2025,Japan,682,9762,69,16866,15,84,45,99,14.8722,65,42,87,16,4.448,52.236
2019,Portugal,584,7012,197,22572,39,100,45,76,12.4602,53,50,78,16,1.928,69.606
2024,China,202,1876,193,58441,74,66,84,90,14.6413,48,42,85,37,1.82,52.27
2022,Somalia,41,1740,345,54957,65,55,57,75,9.1254,69,48,61,38,3.536,69.279
2021,Serbia,927,6118,173,28113,94,74,32,85,7.7312,83,26,86,19,4.228,52.862
2027,South Africa,500,2317,323,95029,36,68,42,54,3.9251,63,16,61,48,4.679,76.576
2018,Indonesia,314,3747,270,23729,89,52,47,100,7.1493,62,28,80,19,5.672,45.483
2024,China,1133,792,435,5462,39,66,55,73,6.8125,57,32,75,16,4.284,66.474
2016,China,84,7448,286,8026,44,84,63,64,7.2066,40,42,86,50,2.687,48.411
2029,Indonesia,767,6280,98,6201,98,57,70,41,8.1471,43,21,70,27,1.553,43.591
2021,Canada,1277,8885,111,74291,41,84,64,48,11.6619,58,33,89,33,4.245,56.162
2025,Portugal,807,5907,88,40963,42,68,54,43,12.5203,37,25,74,49,4.176,86.206
2020,China,1101,7656,14,1141,28,65,63,87,7.4252,33,33,72,28,3.735,52.276
2019,Guatemala,1201,2543,492,5246,42,72,75,75,9.072,35,26,65,37,5.887,79.462
2029,France,1191,575,500,53720,49,59,100,52,11.5181,39,25,76,26,5.738,89.492
2025,Iran,838,3569,390,27337,65,82,100,47,8.0264,40,32,77,47,5.873,71.734
2030,Brazil,323,9561,473,17015,27,60,79,89,6.078,74,24,81,43,5.167,69.312
2017,Indonesia,55,9211,378,53556,35,71,83,42,12.8105,57,32,88,43,6.211,47.311
2021,Brazil,849,7999,41,70685,97,95,64,45,9.6012,32,50,86,45,2.539,49.357
2027,Cameroon,880,7686,318,33235,35,57,30,58,9.6022,31,42,85,20,5.418,61.734
2018,Iran,100,8334,412,49085,87,77,64,93,13.0811,88,25,80,31,4.192,42.607
2025,China,473,5202,384,87859,14,72,46,82,4.5996,62,38,80,42,3.761,41.983
2028,Indonesia,1029,9231,172,53996,80,66,52,99,4.0225,58,44,68,20,4.611,53.725
2022,United States,1248,7621,290,15560,31,89,76,46,4.6306,33,50,63,40,6.109,64.031
2022,Indonesia,473,2139,42,70456,56,73,91,74,11.4357,63,40,62,16,3.087,50.935
2027,China,770,4429,437,10110,27,70,69,91,5.019,50,18,66,28,3.518,67.796
2021,Canada,411,2906,298,15804,30,56,88,86,11.3408,73,27,61,50,5.384,68.422
2020,Indonesia,178,1154,59,91743,81,69,68,66,9.5174,56,20,76,39,3.498,61.968
2021,Japan,1091,3459,108,24097,14,88,78,91,13.3163,82,21,66,26,1.969,57.262
2015,Lebanon,421,3588,226,91089,49,68,81,54,3.9825,79,27,72,13,2.013,72.476
2023,Russia,406,2403,388,24805,22,98,44,100,14.3623,39,26,75,25,2.355,82.845
2022,China,252,8289,430,1010,93,75,34,83,7.5854,69,29,65,26,2.87,83.911
2029,Indonesia,375,7571,466,90290,81,95,63,57,5.6592,60,39,71,36,4.173,59.799
2024,United States,519,9877,254,62592,76,52,38,46,12.5955,75,16,81,32,5.242,85.189
2021,Morocco,1124,9454,299,81905,96,94,59,84,9.6639,49,20,62,45,4.635,76.747
2028,Portugal,609,405,11,9247,68,89,67,62,4.7787,39,41,80,24,3.261,77.457
2015,Thailand,463,9067,75,8623,89,83,30,69,7.9261,35,31,73,44,2.356,61.673
2023,Brazil,967,7070,409,60271,40,78,98,92,11.7391,74,38,86,47,5.059,71.464
2015,Poland,522,1833,126,88431,40,59,67,79,14.4469,76,19,75,38,1.286,81.209
2016,Indonesia,872,6592,322,54483,16,92,83,92,5.4957,83,39,77,17,2.485,64.904
2020,Poland,634,2977,71,16298,55,57,43,67,10.0024,43,11,74,32,1.642,40.445
2025,Russia,599,136,19,48532,30,75,62,69,11.8265,66,49,66,16,1.77,74.628
2018,Portugal,1001,9142,345,89617,15,53,45,75,14.5419,54,46,85,17,1.133,86.829
2025,China,792,9232,15,65090,39,75,81,66,8.3705,80,32,85,33,3.83,44.331
2024,France,476,6517,470,26623,76,74,35,67,7.3514,48,19,60,25,4.214,58.84
2017,Mexico,995,6801,380,78197,10,92,38,55,10.6138,71,47,66,19,3.159,58.805
2017,Kazakhstan,580,5584,498,77646,14,96,73,96,11.0124,86,34,81,13,2.245,53.887
2020,Paraguay,787,1225,70,18517,10,94,57,61,7.4535,73,35,80,31,6.477,68.996
2028,China,229,9811,148,57551,76,84,38,99,8.7574,58,29,81,27,1.607,64.358
2015,Japan,531,5529,124,85133,16,55,69,43,6.7597,61,45,82,32,2.369,79.252
2025,France,1141,5226,475,69704,35,84,91,60,9.2076,74,19,81,34,3.388,53.318
2016,Philippines,391,9489,277,68583,72,95,53,90,9.8852,61,22,62,16,3.189,58.609
2030,France,1206,4582,123,69379,15,70,33,97,14.8145,50,41,66,49,1.674,77.187
2017,Japan,422,5794,353,31615,82,91,41,95,11.6261,61,47,81,40,5.819,87.849
2016,Ireland,198,7443,198,93664,60,50,34,40,11.4142,79,42,62,36,5.853,77.783
2028,Thailand,1021,8371,210,16205,92,97,51,54,14.6501,90,21,86,22,6.66,58.073
2017,China,1085,4626,257,81233,85,98,77,40,13.463,38,29,62,22,6.864,80.713
2017,Russia,548,6902,174,47494,39,94,33,95,4.2766,39,27,80,47,5.925,52.448
2024,China,896,1379,454,25865,38,71,65,51,14.5388,42,14,70,28,2.824,60.516
2016,Philippines,758,6373,225,89983,21,59,63,98,12.5677,76,27,70,32,3.83,52.81
2028,Japan,291,1716,263,7449,50,67,74,86,14.6249,67,31,67,40,3.474,49.996
2024,China,545,6344,399,48373,98,63,55,86,12.9529,86,50,75,40,4.677,58.486
2026,Swaziland,1296,1668,30,17300,83,78,72,62,7.9362,89,21,63,44,6.059,67.377
2017,Syria,224,518,41,5144,96,53,43,97,6.459,84,41,77,48,2.903,51.85
2016,China,507,8078,97,87198,33,98,56,52,13.8245,50,33,77,17,2.597,48.472
2015,Poland,1140,7538,88,70696,11,79,40,69,9.3142,63,14,71,46,4.148,70.802
2030,Canada,1175,8466,185,90115,53,94,57,57,10.7953,54,40,88,16,3.532,65.4
2016,Honduras,524,9702,271,37337,96,51,72,67,7.6877,65,21,79,24,3.259,52.039
2030,China,669,4987,272,99959,61,72,32,55,7.291,47,48,62,17,4.044,59.202
2023,Poland,193,1274,281,8367,68,92,32,80,5.3344,69,15,60,46,2.272,60.597
2021,Sweden,1050,5461,57,67198,13,54,89,49,9.154,45,16,74,27,3.357,69.44
2018,Indonesia,335,5339,379,97944,34,92,64,47,9.4981,82,12,66,41,1.712,55.334
2029,Indonesia,397,6815,22,69697,66,57,63,77,7.192,73,15,75,22,6.599,86.938
2023,Russia,1078,8191,38,15483,55,78,62,74,7.787,42,26,69,31,5.007,53.802
2022,Indonesia,304,2147,102,27722,43,55,68,77,6.0535,78,13,66,49,1.987,44.534
2022,China,1130,3485,42,8476,56,63,32,59,6.1508,39,26,76,23,6.591,45.511
2015,Russia,1071,3896,46,33771,93,65,31,94,14.1063,39,42,84,23,3.886,45.712
2030,Indonesia,412,830,212,73835,12,56,98,44,3.6833,55,35,66,35,2.492,68.167
2027,Brazil,873,4617,391,45381,91,75,46,59,8.8537,32,48,87,36,3.722,59.731
2029,Palestinian Territory,65,9422,158,6273,63,77,53,100,7.0841,32,22,78,29,3.429,72.458
2024,Pakistan,493,239,326,33385,15,60,53,67,13.6876,37,23,85,48,1.492,68.687
2023,Portugal,290,7036,202,24333,43,82,70,47,3.6565,69,38,88,26,2.937,70.714
2028,Ivory Coast,26,424,432,33727,66,76,61,93,6.3745,42,36,86,49,5.887,49.767
2022,Sweden,617,951,350,53727,66,71,66,79,14.6194,88,45,88,35,4.147,52.616
2025,Burkina Faso,349,9221,222,89813,84,86,51,70,13.3424,64,31,90,44,2.895,73.523
2025,Philippines,268,1497,429,81132,10,64,39,97,9.8773,63,42,75,34,4.597,78.84
2027,Philippines,1111,1053,26,64245,24,59,65,48,8.6352,40,38,77,48,2.691,58.473
2023,China,698,4912,241,67500,85,70,44,80,9.3777,80,42,64,20,6.928,43.063
2016,China,662,8417,208,61379,11,85,38,41,11.2226,57,15,63,13,6.894,68.624
2019,Philippines,1192,2661,76,51248,43,91,63,41,14.5602,65,45,64,22,3.302,55.803
2030,Albania,249,8048,256,77536,15,53,71,44,4.0945,43,35,74,49,5.58,47.271
2015,El Salvador,546,1939,465,18130,95,76,94,78,10.9841,70,17,69,33,1.691,79.027
2024,Indonesia,944,2708,358,19476,65,58,47,62,9.3327,81,40,69,43,3.246,71.869
2017,Russia,147,3449,402,41905,22,63,63,94,3.9143,49,47,70,14,4.9,58.225
2027,Ghana,381,1199,167,59033,71,61,41,99,7.4848,49,44,90,25,1.347,74.982
2016,Indonesia,30,8172,406,45991,57,98,63,52,11.2868,68,49,81,39,4.76,70.776
2020,Mexico,585,3124,150,85974,67,56,58,70,13.6442,71,48,73,49,3.881,76.679
2024,Indonesia,207,4123,248,49720,85,61,56,66,9.6262,53,28,89,41,6.287,42.269
2029,Iran,596,7331,135,52189,71,87,89,81,12.7669,61,14,81,35,2.034,76.72
2020,Philippines,761,1088,500,24580,87,81,84,48,9.0024,42,49,64,34,4.874,88.914
2016,Indonesia,117,3555,232,47823,55,73,35,62,3.3173,32,49,88,23,5.742,59.394
2028,Colombia,448,9387,185,94777,85,85,79,90,3.7566,30,21,60,27,2.791,85.767
2015,Finland,665,7648,25,94004,16,83,35,82,8.0034,37,43,78,29,5.684,79.297
2020,Albania,15,7235,405,91699,74,77,45,94,13.6949,62,11,79,32,2.512,73.035
2021,United States,692,5296,235,51956,32,57,65,83,9.3989,58,22,90,48,4.534,68.485
2029,Indonesia,695,7525,445,11669,79,67,84,86,3.8633,47,29,62,21,4.081,77.077
2023,United States,499,9600,319,59397,90,89,100,51,4.6418,63,20,69,28,6.667,76.301
2016,Brazil,335,7564,402,27649,21,52,82,98,13.9566,80,26,62,15,5.122,70.565
2018,Mexico,35,2557,444,8723,46,92,82,52,14.5146,70,37,72,21,4.978,81.307
2022,China,1004,3431,417,49133,29,61,67,47,14.5496,42,22,81,26,2.353,64.728
2022,Poland,142,9240,135,7842,46,62,71,40,3.9941,83,10,90,36,2.116,83.954
2029,Argentina,533,4688,216,9263,52,65,79,72,13.6932,54,46,90,37,5.617,44.371
2026,China,704,1990,386,65021,96,86,52,43,6.696,89,13,85,42,6.789,83.664
2029,China,325,8767,41,90610,49,50,100,84,6.4045,65,14,60,30,5.643,82.307
2027,Poland,1295,6221,283,33802,67,66,57,44,5.7675,83,34,76,33,1.661,45.668
2025,Indonesia,875,6043,421,97792,56,90,43,89,7.0689,35,13,76,13,1.963,46.849
2021,Russia,822,7010,65,76661,45,97,88,49,8.3107,55,37,64,18,1.324,60.959
2020,Russia,1067,8736,150,36560,64,54,43,58,7.4117,49,31,81,24,5.583,83.445
2018,Ireland,563,3597,17,39997,51,82,60,55,11.0351,86,19,80,33,6.987,89.84
2022,Cameroon,800,9344,487,66046,100,78,33,43,12.3174,54,34,83,21,4.799,40.652
2030,China,815,760,321,22261,22,91,89,98,3.7275,70,49,61,34,6.624,89.549
2022,Brazil,212,3058,326,47532,39,53,64,75,14.1657,85,22,83,23,6.327,80.186
2028,Poland,540,8536,87,30062,42,83,58,76,6.9649,69,42,74,43,5.3,49.85
2018,Palestinian Territory,744,9705,361,90682,36,86,66,95,11.647,54,35,77,48,3.981,42.367
2024,Thailand,234,6657,412,6540,92,74,41,58,3.077,46,31,62,23,5.678,60.294
