Year,Country,Infant Mortality Rate %,Healthcare Access %,Income Level,Education Level %,Vaccination Rate %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2023,Indonesia,37,29,197763,80,49,74,3.0198,58,91,47,39,6.113,90.864
2029,Singapore,18,48,18150,28,13,28,9.5118,4,30,26,30,5.201,16.416
2023,Indonesia,89,93,127976,64,20,49,4.8471,56,93,92,50,4.125,55.686
2030,China,4,53,115479,98,4,87,5.5859,99,65,92,35,3.181,93.429
2030,Indonesia,90,76,190099,35,84,32,6.3663,31,13,39,16,4.625,51.508
2025,Indonesia,24,39,46839,11,80,91,7.7728,78,74,69,45,1.165,75.806
2025,Russia,32,1,157359,75,47,39,7.2427,51,73,13,49,2.956,88.835
2015,China,57,63,155447,19,70,4,5.0248,57,92,66,48,3.602,84.132
2024,Croatia,74,40,157778,100,88,8,14.5927,33,83,77,27,3.444,45.747
2028,Indonesia,9,33,39352,77,95,15,10.5376,89,38,52,49,3.085,24.356
2019,Armenia,21,48,89203,3,95,62,10.7956,23,19,41,34,4.552,60.141
2027,China,60,82,18252,14,3,100,7.2178,72,60,18,19,4.651,74.45
2015,Czech Republic,2,5,1544,54,68,80,11.1466,47,32,43,29,6.694,69.474
2020,Russia,50,8,111361,42,29,33,11.0767,95,40,15,47,1.089,5.199
2019,Japan,73,8,182564,73,22,15,10.0958,22,72,84,48,5.735,19.338
2015,China,32,77,151652,77,39,95,4.4544,51,90,63,21,2.255,24.262
2030,Argentina,36,95,101739,23,49,17,7.5359,39,76,64,20,4.051,92.427
2026,Philippines,71,64,198877,99,49,39,8.6129,25,59,80,35,4.139,45.768
2021,Brazil,12,15,56951,26,43,65,14.7109,14,15,23,13,3.46,83.566
2017,Sweden,19,24,138202,23,64,91,6.2099,31,81,35,48,3.158,9.273
2019,China,26,31,9114,81,84,82,11.5311,95,61,95,41,2.97,43.769
2029,Madagascar,6,39,116270,12,71,47,12.598,33,81,91,22,4.161,1.463
2029,Mexico,48,100,144876,16,42,6,11.6442,86,13,96,34,4.68,47.622
2017,Botswana,57,26,80756,45,60,94,11.2668,70,94,37,20,6.104,53.691
2027,China,20,47,29206,37,86,66,4.6281,89,21,20,28,6.801,71.829
2025,France,8,100,41086,22,76,27,14.32,62,63,10,31,1.934,73.787
2026,Saudi Arabia,91,78,31908,90,9,39,12.0386,83,42,29,24,3.996,57.257
2023,France,40,97,129786,77,43,51,10.184,99,43,24,29,1.973,75.295
2017,United States,76,35,137528,71,94,72,7.2235,66,93,19,44,5.699,43.783
2020,Indonesia,48,59,100209,74,31,81,14.8424,47,43,11,47,2.923,93.15
2024,Albania,43,10,32799,32,68,0,4.666,1,75,9,21,4.97,72.79
2016,Indonesia,5,21,136213,82,66,46,9.7664,75,70,26,24,5.739,82.153
2026,Pakistan,80,92,142101,53,29,14,12.7755,23,21,42,21,2.047,50.638
2022,Indonesia,44,7,113328,86,96,28,9.3143,54,26,96,33,6.903,28.293
2030,Cameroon,25,27,111209,23,15,5,9.7102,62,52,97,49,4.205,86.066
2017,Guatemala,52,77,152053,35,48,29,7.7114,91,79,48,42,3.238,55.207
2022,Thailand,96,49,36246,13,30,4,12.0169,35,20,38,43,4.049,1.918
2022,Ireland,80,31,162688,25,93,68,14.1521,11,85,5,16,2.502,68.15
2025,Sweden,22,0,64518,38,8,78,12.3543,38,73,13,19,2.112,97.546
2025,Sweden,46,16,132686,59,8,41,10.7103,9,98,79,35,2.3,63.345
2018,Peru,82,44,100569,52,7,31,12.7069,11,84,32,35,6.16,71.206
2018,Belarus,0,92,179183,82,35,36,7.3575,52,18,39,31,6.512,19.101
2020,Czech Republic,46,49,33481,42,93,40,5.3473,2,15,71,20,1.611,18.964
2022,China,45,45,104251,67,83,54,10.0676,39,43,15,16,2.32,80.506
2027,China,11,91,113548,59,64,77,12.2397,65,40,76,41,2.997,17.55
2017,Colombia,89,19,165807,99,30,22,4.6681,74,71,8,38,1.93,69.94
2018,Poland,14,95,179920,39,66,68,9.6792,78,41,4,42,5.377,69.146
2027,Peru,92,75,29691,88,77,3,14.974,42,88,96,31,1.581,98.381
2018,Peru,87,71,20311,3,67,52,5.6454,26,94,23,27,4.255,49.09
2028,Russia,86,11,122651,18,17,45,12.5648,87,47,34,35,4.919,9.002
2021,China,84,64,180615,71,44,8,11.9252,88,19,18,33,6.738,68.768
2023,France,68,34,137110,28,3,26,11.2386,41,51,55,32,6.794,99.159
2026,Peru,40,75,141389,93,28,27,9.5671,78,20,62,33,5.016,21.767
2016,Philippines,26,40,176325,58,8,84,8.4654,51,89,92,22,2.301,5.315
2023,Russia,48,29,15439,95,10,11,8.3587,23,29,37,23,5.339,59.796
2022,Russia,20,90,22621,25,18,57,3.411,14,29,68,49,6.954,51.136
2028,Indonesia,37,0,55724,72,17,50,12.0911,22,22,20,17,2.905,46.291
2022,Colombia,42,51,140957,41,95,90,3.578,18,69,63,24,4.33,46.823
2027,Greece,44,72,150086,36,84,12,5.4908,67,16,19,19,4.797,78.294
2015,China,24,38,100596,92,81,26,11.8753,96,14,56,28,6.345,55.757
2017,Ireland,54,69,47288,1,26,44,14.659,40,46,40,37,2.337,96.023
2017,Guatemala,61,56,172081,87,56,94,6.6299,24,60,75,50,1.824,46.318
2015,Poland,23,4,110884,32,55,72,9.2532,40,39,49,35,4.228,89.907
2024,Jordan,2,40,119129,20,84,6,4.8428,18,12,31,13,3.214,41.82
2019,Sweden,32,57,85058,41,74,13,7.7264,53,15,17,30,6.044,82.241
2027,Philippines,8,92,89294,63,48,82,6.1039,89,26,32,19,3.206,60.265
2021,Mexico,16,96,17717,12,42,51,9.3788,59,17,73,48,1.687,0.125
2023,Russia,15,4,66942,16,85,71,12.6529,78,47,34,23,4.115,50.011
2026,Colombia,46,44,68247,32,11,79,11.8759,90,18,8,44,3.25,65.064
2027,Malaysia,77,59,21341,67,43,34,14.4553,36,10,42,40,6.425,47.308
2018,Macedonia,31,32,165509,68,59,22,11.2589,40,77,61,48,5.283,16.312
2024,Philippines,5,39,134859,36,41,77,10.9934,44,16,58,46,2.061,28.914
2015,Norway,10,87,116025,4,8,64,12.337,80,52,70,49,4.138,58.514
2029,Peru,87,31,20600,91,87,71,7.9616,55,50,17,34,2.071,28.022
2018,China,63,36,151253,3,10,47,7.0953,10,13,71,41,6.026,67.367
2017,Portugal,97,26,41464,1,63,32,12.3093,37,89,6,37,5.067,97.599
2017,China,88,60,184278,59,75,47,5.3492,39,74,25,17,2.857,91.246
2022,New Caledonia,5,85,196905,6,74,42,11.7569,77,53,70,25,2.33,72.813
2030,China,32,62,121973,33,23,98,8.0735,53,95,56,33,6.515,24.038
2018,China,61,75,24573,71,7,87,7.0104,75,16,28,36,2.086,86.146
2030,China,76,28,111146,92,17,19,4.0975,97,45,98,32,2.461,20.625
2017,Russia,2,97,49903,9,61,87,9.4442,98,41,5,39,5.565,57.735
2027,Philippines,79,17,199209,16,18,16,3.4815,56,42,76,23,1.853,3.936
2015,China,69,93,41211,30,57,93,5.3041,65,95,15,27,2.559,24.417
2023,China,34,89,121278,64,49,69,4.4679,20,58,84,40,1.047,5.661
2030,Greece,16,13,73652,24,29,55,9.342,36,48,13,21,5.948,64.271
2017,China,37,92,100448,20,80,90,3.264,31,73,23,50,5.923,92.776
2029,Indonesia,11,89,1354,56,73,20,4.079,55,49,3,42,1.94,7.805
2025,Portugal,80,4,34739,56,91,64,7.7957,65,88,92,50,1.665,62.181
2030,Indonesia,7,77,176054,50,60,38,5.0536,74,78,5,20,4.479,27.715
2016,Indonesia,72,96,131911,67,61,89,5.9316,94,83,80,13,4.6,28.288
2030,Nepal,18,51,123411,70,9,14,7.6441,84,84,4,18,4.713,95.169
2016,Pakistan,78,100,96577,69,3,61,10.9488,54,51,23,25,5.732,16.063
2016,Madagascar,54,70,179497,4,5,19,10.4864,91,67,72,15,3.352,32.871
2019,France,86,61,31255,77,17,92,7.5885,4,97,31,34,3.199,37.986
2023,Peru,18,74,88860,92,49,2,14.7305,4,60,34,32,6.209,10.854
2016,Kazakhstan,47,30,171888,5,4,8,10.0031,89,40,86,14,6.203,16.417
2021,Guinea,2,2,153468,80,96,74,7.5398,25,38,82,17,2.747,15.772
2020,Poland,79,57,191366,2,48,64,7.8523,79,90,96,47,5.043,62.487
2029,Bosnia and Herzegovina,19,22,175550,62,16,78,5.144,74,36,27,21,1.306,1.053
2021,Mexico,37,1,65083,18,16,69,10.1866,34,48,88,50,1.444,22.689
2026,China,44,43,146665,66,54,10,13.4215,25,74,86,34,3.416,67.183
2028,China,51,49,86267,88,87,21,5.3258,57,37,90,31,5.276,93.364
2025,Portugal,13,4,188775,16,20,42,11.7094,96,86,42,44,1.489,84.769
2023,Armenia,58,65,113997,23,90,22,5.3905,90,15,54,20,6.239,5.989
2026,Kazakhstan,59,84,75969,2,3,16,8.4511,6,64,13,35,3.552,69.677
2021,Mexico,56,77,192681,92,32,30,9.6826,17,33,14,13,6.979,79.774
2029,China,58,62,113855,61,94,1,6.4019,32,32,69,26,3.048,64.688
2018,Czech Republic,62,34,87833,15,26,95,5.2921,15,39,55,20,5.6,29.018
2029,Honduras,74,91,156516,45,26,56,5.6096,38,72,31,15,4.149,66.968
2019,Russia,68,77,171000,76,62,49,13.51,80,43,36,18,2.812,43.805
2028,Portugal,96,92,49944,4,22,45,6.6425,57,30,43,16,2.364,69.507
2022,Colombia,17,94,97501,87,94,13,11.5656,66,94,90,29,3.743,45.114
2024,Colombia,48,47,165257,26,18,17,8.8964,91,80,52,43,6.605,62.807
2026,China,41,79,16004,20,87,50,14.7664,98,60,80,15,1.789,92.137
2018,Indonesia,81,47,55149,35,2,67,5.1464,1,12,80,25,2.075,0.422
2030,Portugal,61,51,81817,17,1,51,11.7385,37,35,20,44,3.608,13.367
2016,China,82,62,86702,95,66,33,6.1338,37,44,46,30,4.954,85.682
2027,Sweden,19,28,183579,9,87,74,8.7434,22,75,68,47,1.902,2.652
2021,Iran,7,13,130308,47,26,15,14.9594,57,38,88,14,2.995,37.658
2017,Indonesia,46,28,160557,80,42,29,14.9753,25,38,57,20,5.534,81.262
2028,Argentina,69,18,1811,75,47,96,3.3808,99,57,71,16,2.71,56.111
2029,China,45,81,112841,95,19,95,14.4863,44,39,90,33,3.224,77.901
2026,Philippines,100,66,50746,84,55,60,8.323,78,73,83,33,5.521,16.998
2018,Indonesia,78,57,166409,45,82,45,3.807,2,23,30,46,4.819,87.959
2025,Philippines,25,42,76361,49,66,96,9.3269,86,34,68,32,6.996,28.165
2020,China,17,96,13473,16,68,42,9.7861,11,90,81,46,5.314,14.498
2023,Indonesia,77,69,11495,77,75,0,11.8042,58,64,21,48,6.165,58.263
2022,Philippines,62,7,156191,40,17,3,8.5049,56,69,5,27,3.874,58.592
2022,China,88,93,11940,23,33,60,4.2193,37,87,84,43,6.368,0.998
2030,Malaysia,70,53,53334,19,55,54,13.2968,40,37,33,35,4.219,89.461
2023,Vietnam,23,97,71399,55,78,49,6.9668,82,33,88,14,2.095,1.742
2017,Philippines,31,3,74113,99,38,44,10.5034,73,76,36,32,2.221,13.805
2027,Colombia,80,80,163386,20,12,21,3.2959,89,46,81,16,1.945,11.214
2015,United Kingdom,28,6,105101,43,90,34,6.8447,9,57,28,21,6.569,95.281
2015,Malaysia,41,54,122682,0,25,27,7.5229,25,43,97,22,6.406,38.506
2017,Argentina,20,55,105967,77,24,18,7.9768,38,93,7,38,1.236,33.053
2017,Russia,93,18,94314,19,51,37,13.6729,99,94,46,37,4.23,94.965
2019,China,71,98,147413,92,48,10,6.5957,33,15,35,28,4.82,65.019
2024,Indonesia,78,14,92539,25,86,76,8.3199,1,73,55,14,3.804,62.372
2019,Philippines,55,31,89159,69,53,55,9.6178,2,13,50,42,6.772,75.804
2021,Japan,26,36,179208,20,7,54,8.2529,6,24,60,20,3.819,3.783
2029,Poland,45,32,154370,44,28,65,14.9597,100,58,96,21,4.253,94.174
2026,Belize,83,45,94904,11,43,3,9.469,59,87,32,47,1.063,88.744
2029,China,45,63,189732,30,72,69,5.6469,70,66,37,38,5.753,71.309
2028,Brazil,80,51,149004,25,11,19,12.0579,47,80,19,31,5.964,28.873
2015,Indonesia,7,50,116185,53,16,30,10.5612,31,90,68,20,3.746,7.579
2018,Cameroon,83,28,3513,51,63,84,3.2513,43,40,10,30,6.918,26.405
2027,Indonesia,87,67,159450,97,14,9,12.1528,61,61,8,13,3.143,38.818
2022,Japan,85,54,12699,74,92,93,8.5187,59,68,98,28,5.372,54.818
2025,Ukraine,2,96,136444,93,61,72,4.4512,8,73,80,26,6.72,39.13
2030,Sweden,72,84,99691,68,8,50,13.1073,3,37,56,23,3.222,5.532
2030,Ireland,58,19,23290,1,97,7,13.4681,49,38,43,23,6.059,65.186
2026,China,14,74,44313,28,90,64,6.0279,94,10,88,35,4.763,0.455
2028,Indonesia,100,41,27310,90,71,14,7.7009,18,16,92,21,6.101,61.34
2028,Indonesia,32,76,1092,84,0,62,9.5368,9,69,27,22,1.475,45.285
2018,Peru,85,10,61104,7,90,23,6.076,21,57,84,16,5.795,49.754
2025,Czech Republic,93,39,114244,74,50,86,12.3165,40,20,51,37,4.657,40.552
2028,Indonesia,37,31,50250,52,57,59,10.9604,25,91,37,37,3.524,21.933
2027,China,59,33,190113,19,94,33,7.6043,27,50,20,25,2.279,49.622
2024,Indonesia,51,53,46707,92,94,11,11.9698,59,97,54,13,3.951,79.688
2021,Portugal,31,83,83265,12,80,75,10.558,78,12,76,50,5.142,36.304
2026,Indonesia,17,21,152003,4,62,99,5.3083,59,94,42,29,2.945,58.408
2028,United States,39,94,110950,97,14,32,13.236,15,51,74,34,5.672,86.906
2018,Chile,4,94,61835,36,64,25,6.6545,38,88,88,21,5.066,79.624
2022,China,8,76,22391,0,85,63,13.2759,67,78,27,40,5.84,52.896
2029,Japan,87,15,77424,40,82,13,4.9619,24,75,32,15,3.559,53.981
2026,Chad,37,11,76360,25,65,80,11.5997,98,50,46,36,2.694,51.466
